"ensgenes","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_symbol","entrezid"
"ENSMUSG00000007783",245.145555006946,-0.380769898117326,0.302757742459883,-1.25767187660867,0.208510447162856,0.495988550402814,"Cpt1c","78070"
"ENSMUSG00000007812",163.512249197347,0.264088229283137,0.307005798904868,0.860205996841676,0.38967549958535,0.6807808709627,"Zfp655","72611"
"ENSMUSG00000007815",3300.83031615628,0.0911393357264483,0.191114978286832,0.476882223169673,0.633445991287621,0.843119208129884,"Rhoa","11848"
"ENSMUSG00000007817",382.951479951048,-0.000947292794915368,0.241178838784158,-0.0039277608254974,0.996866108336729,0.999276721512565,"Zmiz1","328365"
"ENSMUSG00000007827",75.3365057916567,0.286472196840118,0.379332606631477,0.755200559698858,0.45012865289199,0.727310316328373,"Ankrd26","232339"
"ENSMUSG00000007833",88.0796321892764,0.238668145291306,0.355155210429416,0.672010823106701,0.501576806145732,0.761805531481163,"Aldh16a1","69748"
"ENSMUSG00000007836",618.418480738226,-0.116776059257007,0.22049558589973,-0.529607242614421,0.596384271743,0.821640003758954,"Hnrnpa0","77134"
"ENSMUSG00000007837",61.7307495642758,-0.217182138032379,0.404244631771487,-0.537254229154856,0.591092016996656,0.819541397091637,"Prrg2","65116"
"ENSMUSG00000007850",1022.46025101132,0.406807837651344,0.201823462204871,2.01566177295281,0.0438353555177305,0.195401373859776,"Hnrnph1","59013"
"ENSMUSG00000007867",363.012053063008,0.0528749803153786,0.236427126793898,0.22364176662973,0.823036061616591,0.932077826416189,"Ift43","76411"
"ENSMUSG00000007872",5283.14982881491,0.10001455190566,0.2415555447237,0.414043701708689,0.678842101939935,0.866695831539908,"Id3","15903"
"ENSMUSG00000007880",541.180061236868,0.0151031475333505,0.237115865126178,0.0636952214281976,0.949212909770246,0.978744754717075,"Arid1a","93760"
"ENSMUSG00000007888",93.318801612454,-0.744481765426412,0.384488745485526,-1.93629013636353,0.0528321761755694,0.220913041253725,"Crlf1","12931"
"ENSMUSG00000007891",1556.13423263021,-0.300083328158817,0.212289234223548,-1.41355886112821,0.157491467425112,0.422088682935767,"Ctsd","13033"
"ENSMUSG00000007892",40470.2686535297,-0.0624367174325203,0.208826245197115,-0.298988842966483,0.764948558430345,0.907980417328768,"Rplp1","56040"
"ENSMUSG00000007944",6.40458489192438,-1.0963288383484,1.26732043527784,-0.865076272606659,0.386996926849051,NA,"Ttc9b","73032"
"ENSMUSG00000007950",143.190025640792,0.0211557392764088,0.30764994810839,0.068765619518178,0.945176184931127,0.976688606152667,"Abhd8","64296"
"ENSMUSG00000007987",335.101970173084,-0.185880811257399,0.239363127168893,-0.776564099307755,0.437415989344209,0.718713153322501,"Ift22","67286"
"ENSMUSG00000007989",683.227755945554,-0.853375549691363,0.314162139916146,-2.71635388630578,0.00660053229372823,0.0523395823708489,"Fzd3","14365"
"ENSMUSG00000008028",7.70465420367475,-0.72448327564614,1.0539619673841,-0.687390340511323,0.491836783038123,NA,"1700008O03Rik","69349"
"ENSMUSG00000008035",643.053414525265,-0.455855228463249,0.245673330549622,-1.855534043697,0.0635200024166323,0.247424400075208,"Mid1ip1","68041"
"ENSMUSG00000008036",949.469539883093,-0.0858178107376549,0.218628610774025,-0.392527814332391,0.694668264112611,0.874807282472664,"Ap2s1","232910"
"ENSMUSG00000008090",85.6072847999465,-0.260786343904921,0.367109202103549,-0.710378117493668,0.477469689221611,0.745896516497702,"Fgfrl1","116701"
"ENSMUSG00000008129",8.865356238267,-1.12089861561465,1.01478250089886,-1.10457030410142,0.269345824494139,NA,"Brme1","74666"
"ENSMUSG00000008136",6.64786887425849,-0.972978973059362,1.19527332782574,-0.814022157450175,0.415632257650532,NA,"Fhl2","14200"
"ENSMUSG00000008140",526.759883767351,0.248155624906961,0.223813380228914,1.10876134685581,0.267533149307924,0.566630050774697,"Emc10","69683"
"ENSMUSG00000008167",214.310323407444,-0.172558974690909,0.276262244773192,-0.624620185912763,0.532220367998776,0.781995351826114,"Fbxw9","68628"
"ENSMUSG00000008193",3.01552427078939,-1.41148885282495,1.58410953785227,-0.891029830385744,0.372913167135254,NA,"Spib","272382"
"ENSMUSG00000008200",228.801229822356,-0.252561392699376,0.260745234732785,-0.968613646796665,0.33273799186167,0.631536934062085,"Fnbp4","55935"
"ENSMUSG00000008206",16.2646763697043,1.23046476687218,0.870809690749726,1.41301225737716,0.157652120103843,0.422088682935767,"Cers4","67260"
"ENSMUSG00000008226",90.4837458505627,-0.161464494849291,0.365582599983378,-0.441663511492703,0.658732717626474,0.854848160802318,"Scrn3","74616"
"ENSMUSG00000008301",693.067688592556,0.112329997296542,0.211610977490308,0.530832561848954,0.595534813556435,0.82137805896653,"Phax","56698"
"ENSMUSG00000008305",39.1002948390057,-1.04542625161381,0.530066500693933,-1.9722548967822,0.048580515659375,0.207868195728159,"Tle1","21885"
"ENSMUSG00000008307",30.0337707076011,0.311911939123879,0.557084011646686,0.559901078837101,0.575546912858875,0.80955255121109,"1700109H08Rik","77036"
"ENSMUSG00000008318",25.2581022065755,1.48503786726216,0.679642464177216,2.18502807804979,0.0288867879341798,0.149464110133341,"Relt","320100"
"ENSMUSG00000008333",1082.26868663066,0.141056358825025,0.251556003149177,0.560735411038378,0.574977923344624,0.8093619875982,"Snrpb2","20639"
"ENSMUSG00000008348",606.366614158365,-0.02471462255403,0.224190578575569,-0.110239345074438,0.912219559555294,0.966979853013501,"Ubc","22190"
"ENSMUSG00000008373",477.459284386728,0.526873655857752,0.23332007272891,2.25815828743512,0.0239357927832655,0.131371264457688,"Prpf31","68988"
"ENSMUSG00000008384",120.213185854218,0.434457521386065,0.326491168869809,1.3306869000163,0.183292055240635,0.459542883349506,"Sertad1","55942"
"ENSMUSG00000008393",824.619198626854,-0.503261368970041,0.231392513760701,-2.17492502583942,0.0296357352025964,0.15163487093008,"Carhsp1","52502"
"ENSMUSG00000008398",130.395133634152,1.32702959733076,0.330837889793245,4.01111734257548,6.04320632329241e-05,0.00139006154483617,"Elk3","13713"
"ENSMUSG00000008429",43.6800182607132,-0.0239731562765683,0.464806783139673,-0.0515766059062965,0.958866060306164,0.983798251550478,"Herpud2","80517"
"ENSMUSG00000008435",42.8847352839448,0.38695188354165,0.501593240792068,0.771445569981392,0.440442873092926,0.721005562529148,"Rdh13","108841"
"ENSMUSG00000008438",3.65984913188322,-3.37815154237657,2.10295795076269,-1.60638092699448,0.108190238951572,NA,"Adam21","56622"
"ENSMUSG00000008450",346.352668286385,0.448468172148355,0.410470884496294,1.09256999482117,0.274582642822596,0.575360038327482,"Nutf2","68051"
"ENSMUSG00000008475",815.687247109431,0.383539990199193,0.239919639983859,1.59861856338646,0.10990538243989,0.345734370708128,"Arpc5","67771"
"ENSMUSG00000008482",1.84320444581246,-0.0344502859267505,1.96492132996118,-0.0175326540566543,0.986011682676008,NA,"Rnf151","67504"
"ENSMUSG00000008489",34.7660111154785,-0.973605770416368,0.600052915339003,-1.62253318920436,0.104689232695409,0.335256942439673,"Elavl2","15569"
"ENSMUSG00000008496",7.42155796860013,-0.963949128897088,1.09934781098483,-0.876837265936382,0.380575034616064,NA,"Pou2f2","18987"
"ENSMUSG00000008540",3410.77478074007,-0.605377537220273,0.186681021332053,-3.24284457466877,0.00118342750323384,0.014445229338672,"Mgst1","56615"
"ENSMUSG00000008575",2652.92921261608,-0.789832430074498,0.241620020989425,-3.26890307698908,0.0010796527770837,0.0134980696527808,"Nfib","18028"
"ENSMUSG00000008604",89.9268824866129,0.955066929304466,0.363710604980474,2.62589794255721,0.00864207247085558,0.0635912949586872,"Ubqln4","94232"
"ENSMUSG00000008658",1.74453307147024,0.180192720357353,2.76687022924384,0.0651251072250677,0.948074390187746,NA,"Rbfox1","268859"
"ENSMUSG00000008668",22583.6289626558,0.0691551676505253,0.236050488374636,0.292967695710797,0.769546843928996,0.909413564612468,"Rps18","20084"
"ENSMUSG00000008682",3502.86735283872,0.17074258897189,0.206165711654209,0.828181309112485,0.407567827328218,0.693878631184168,"Rpl10","110954"
"ENSMUSG00000008683",26305.0216973498,0.0387138557460544,0.223566926190497,0.173164503380375,0.86252212429346,0.946919213008798,"Rps15a","267019"
"ENSMUSG00000008690",451.300447221206,0.16266108759369,0.242153327453014,0.671727658275732,0.501757090198307,0.761805531481163,"Ncaph2","52683"
"ENSMUSG00000008730",676.2857717374,-0.805359959870935,0.261427450972809,-3.08062507159855,0.00206566578477289,0.0221008482531289,"Hipk1","15257"
"ENSMUSG00000008734",205.498423265506,-0.313180452136446,0.290129047243342,-1.07945224758474,0.280386170310576,0.581537841107032,"Gprc5b","64297"
"ENSMUSG00000008763",343.421940971112,0.287728096010544,0.249371881257977,1.15381130606657,0.248577537898634,0.544800679389158,"Man1a2","17156"
