ensembl_gene_id	entrezgene
ENSMUSG00000015787	80908
ENSMUSG00000020829	52466
ENSMUSG00000102766	NA
ENSMUSG00000111517	258786
ENSMUSG00000041923	319211
ENSMUSG00000004815	110524
ENSMUSG00000110009	75239
ENSMUSG00000006270	22326
ENSMUSG00000003234	27406
ENSMUSG00000111302	NA
ENSMUSG00000010406	68836
ENSMUSG00000046585	381229
ENSMUSG00000027122	212772
ENSMUSG00000082217	NA
ENSMUSG00000099643	NA
ENSMUSG00000086757	NA
ENSMUSG00000038013	68524
ENSMUSG00000114876	NA
ENSMUSG00000072814	666209
ENSMUSG00000114045	NA
ENSMUSG00000021693	16563
ENSMUSG00000023832	110460
ENSMUSG00000099777	NA
ENSMUSG00000026189	111175
ENSMUSG00000114792	NA
ENSMUSG00000030757	210162
ENSMUSG00000030788	67150
ENSMUSG00000078958	435376
ENSMUSG00000040722	56807
ENSMUSG00000099542	NA
ENSMUSG00000113040	NA
ENSMUSG00000081798	NA
ENSMUSG00000093519	NA
ENSMUSG00000039770	383295
ENSMUSG00000029279	114642
ENSMUSG00000021811	108671
ENSMUSG00000056492	224792
ENSMUSG00000111021	18350
ENSMUSG00000005370	17688
ENSMUSG00000054901	381112
ENSMUSG00000084173	NA
ENSMUSG00000103509	NA
ENSMUSG00000098201	NA
ENSMUSG00000051285	319263
ENSMUSG00000091382	171199
ENSMUSG00000086161	102635334
ENSMUSG00000044820	246735
ENSMUSG00000101288	NA
ENSMUSG00000084162	NA
ENSMUSG00000100457	NA
ENSMUSG00000037355	71101
ENSMUSG00000082132	NA
ENSMUSG00000099938	77331
ENSMUSG00000039013	233186
ENSMUSG00000036875	327762
ENSMUSG00000115799	171200
ENSMUSG00000101477	NA
ENSMUSG00000113307	NA
ENSMUSG00000096852	380997
ENSMUSG00000099484	NA
ENSMUSG00000113847	NA
ENSMUSG00000004661	56380
ENSMUSG00000106568	NA
ENSMUSG00000075053	NA
ENSMUSG00000022442	319953
ENSMUSG00000114188	NA
ENSMUSG00000109661	NA
ENSMUSG00000095899	NA
ENSMUSG00000005371	225055
ENSMUSG00000113496	NA
ENSMUSG00000001508	20391
ENSMUSG00000001750	27060
ENSMUSG00000090342	100042894
ENSMUSG00000024050	22404
ENSMUSG00000075209	257915
