"ensembl_gene_id"	"Ctrl1"	"Ctrl2"	"Ctrl3"	"Scr1"	"Scr2"	"Scr3"
"ENSMUSG00000002031"	344	318	343	331	528	272
"ENSMUSG00000002032"	12	5	5	6	16	4
"ENSMUSG00000002043"	401	352	283	257	317	218
"ENSMUSG00000002052"	225	380	266	349	287	292
"ENSMUSG00000002055"	82	127	94	90	69	94
"ENSMUSG00000002058"	167	110	91	99	134	84
"ENSMUSG00000002059"	185	339	154	253	151	162
"ENSMUSG00000002064"	1302	1172	1012	1078	1356	938
"ENSMUSG00000002068"	109	195	51	176	44	178
"ENSMUSG00000002076"	6	0	2	1	1	2
"ENSMUSG00000002083"	96	43	56	47	80	64
"ENSMUSG00000002102"	1272	1807	1422	1362	1209	1276
"ENSMUSG00000002103"	330	297	276	222	398	231
"ENSMUSG00000002104"	1	1	0	0	3	0
"ENSMUSG00000002105"	88	79	50	66	70	58
"ENSMUSG00000002107"	513	333	442	281	401	269
"ENSMUSG00000002108"	15	11	10	3	21	6
"ENSMUSG00000002109"	29	25	37	17	46	17
"ENSMUSG00000002129"	359	496	256	361	267	374
"ENSMUSG00000002147"	14	2	2	2	5	4
"ENSMUSG00000002190"	3	2	1	2	1	0
"ENSMUSG00000002204"	4	1	3	0	8	0
"ENSMUSG00000002205"	322	290	307	262	324	258
"ENSMUSG00000002210"	89	101	63	86	90	50
"ENSMUSG00000002221"	177	296	234	148	124	271
"ENSMUSG00000002222"	341	243	244	290	427	266
"ENSMUSG00000002227"	33	41	15	26	18	28
"ENSMUSG00000002228"	1	1	1	0	2	2
"ENSMUSG00000002233"	682	1136	405	786	493	612
"ENSMUSG00000002249"	24	18	27	15	29	14
"ENSMUSG00000002250"	52	37	43	45	42	33
"ENSMUSG00000002257"	1	1	0	1	0	0
"ENSMUSG00000002265"	301	247	232	195	308	138
"ENSMUSG00000002266"	2	1	1	0	2	1
"ENSMUSG00000002274"	515	527	337	448	662	378
"ENSMUSG00000002279"	208	160	182	168	212	158
"ENSMUSG00000002280"	99	100	74	87	88	65
"ENSMUSG00000002289"	4	0	5	2	22	0
"ENSMUSG00000002297"	136	221	111	162	81	134
"ENSMUSG00000002307"	166	195	146	165	143	172
"ENSMUSG00000002308"	330	337	229	329	297	202
"ENSMUSG00000002319"	154	270	78	230	93	224
"ENSMUSG00000002320"	476	725	330	615	376	458
"ENSMUSG00000002324"	2	1	0	0	1	0
"ENSMUSG00000002325"	18	14	8	14	23	13
"ENSMUSG00000002326"	219	252	187	253	163	215
"ENSMUSG00000002329"	496	476	418	394	386	347
"ENSMUSG00000002332"	482	374	417	393	573	357
"ENSMUSG00000002341"	2917	827	1407	1045	2657	1040
"ENSMUSG00000002342"	255	270	185	227	229	202
"ENSMUSG00000002343"	101	119	58	115	86	97
"ENSMUSG00000002345"	458	497	452	387	541	359
"ENSMUSG00000002346"	68	16	59	25	168	12
"ENSMUSG00000002365"	57	164	52	140	60	149
"ENSMUSG00000002372"	339	529	273	417	319	379
"ENSMUSG00000002379"	2191	2855	2028	2251	1894	1893
"ENSMUSG00000002384"	0	1	1	0	1	0
"ENSMUSG00000002393"	39	65	24	58	27	41
"ENSMUSG00000002395"	858	836	682	697	688	585
"ENSMUSG00000002396"	53	52	53	50	67	34
"ENSMUSG00000002409"	85	44	67	67	101	41
"ENSMUSG00000002413"	94	77	81	82	120	74
"ENSMUSG00000002416"	1879	2380	1736	1771	1675	1415
"ENSMUSG00000002428"	54	42	51	52	72	49
"ENSMUSG00000002455"	358	374	429	378	428	334
"ENSMUSG00000002458"	107	189	95	192	85	171
"ENSMUSG00000002459"	330	142	200	135	228	114
"ENSMUSG00000002475"	143	23	39	22	174	15
"ENSMUSG00000002477"	2002	3632	1844	2543	1202	2369
"ENSMUSG00000002486"	113	79	74	74	85	64
"ENSMUSG00000002489"	25	26	7	28	15	15
"ENSMUSG00000002496"	97	111	64	86	115	96
"ENSMUSG00000002500"	0	0	1	0	0	0
"ENSMUSG00000002504"	8	16	5	14	15	7
"ENSMUSG00000002524"	1910	2050	1653	1808	1671	1407
"ENSMUSG00000002546"	241	373	178	223	265	274
"ENSMUSG00000002550"	200	159	144	158	216	155
"ENSMUSG00000002565"	20	13	21	10	24	4
"ENSMUSG00000002578"	7	1	7	8	16	5
"ENSMUSG00000002580"	856	701	644	563	686	447
"ENSMUSG00000002588"	1	0	1	2	0	1
"ENSMUSG00000002602"	101	42	40	64	131	63
"ENSMUSG00000002603"	4	9	9	3	4	15
