"","logFC","logCPM","PValue","FDR"
"mmu-mir-1191b-3p",-2.92008400382465,-1.7525091710773,1,1
"mmu-mir-7649-3p",-2.92008400382465,-1.7525091710773,1,1
"mmu-mir-7658-3p",-2.87793870437339,-1.75786889129804,1,1
"mmu-mir-471-3p",-2.87793870437339,-1.75786889129804,1,1
"mmu-mir-7042-3p",-2.87793870437339,-1.75786889129804,1,1
"mmu-mir-6896-3p",-2.87793870437339,-1.75786889129804,1,1
"mmu-mir-1199-5p",-2.87793870437339,-1.75786889129804,1,1
"mmu-mir-6908-3p",-2.87793870437339,-1.75786889129804,1,1
"mmu-mir-467d-3p",-2.87793870437339,-1.75786889129804,1,1
"mmu-mir-669j",-2.87793870437339,-1.75786889129804,1,1
"mmu-mir-7662-5p",-2.87793870437339,-1.75786889129804,1,1
"mmu-mir-743b-5p",-2.87793870437339,-1.75786889129804,1,1
"mmu-mir-452-3p",-2.87793870437339,-1.75786889129804,1,1
"mmu-mir-6993-3p",-2.87793870437339,-1.75786889129804,1,1
"mmu-mir-452-5p",-2.85714931349436,1.12251328417204,0.065841218634364,0.89175345426285
"mmu-mir-669p-3p",-2.8536381316304,0.679911997195154,0.409669597006555,1
"mmu-mir-466d-3p",-2.82410954284223,6.67538760488459,0.384083705198178,1
"mmu-mir-297c-3p",-2.82339987469693,5.5231913289736,0.344742701055527,1
"mmu-mir-363-3p",-2.81661750841177,2.6555469351575,0.0800524919468312,0.937574785681287
"mmu-mir-7068-5p",-2.81005553082648,-1.8095672299525,1,1
"mmu-mir-377-3p",-2.81005553082648,-1.8095672299525,1,1
"mmu-mir-6715-5p",-2.81005553082648,-1.8095672299525,1,1
"mmu-mir-377-5p",-2.81005553082648,-1.8095672299525,1,1
"mmu-mir-7031-3p",-2.81005553082648,-1.8095672299525,1,1
"mmu-mir-2139",-2.81005553082648,-1.8095672299525,1,1
"mmu-mir-6910-5p",-2.81005553082648,-1.8095672299525,1,1
"mmu-mir-7240-3p",-2.81005553082648,-1.8095672299525,1,1
"mmu-mir-6938-3p",-2.81005553082648,-1.8095672299525,1,1
"mmu-mir-6367",-2.81005553082648,-1.8095672299525,1,1
"mmu-mir-224-3p",-2.81005553082648,-1.8095672299525,1,1
"mmu-mir-6989-5p",-2.81005553082648,-1.8095672299525,1,1
"mmu-mir-7036a-3p",-2.81005553082648,-1.8095672299525,1,1
"mmu-mir-194-1-3p",-2.81005553082648,-1.8095672299525,1,1
"mmu-mir-5616-5p",-2.81005553082648,-1.8095672299525,1,1
"mmu-mir-6979-3p",-2.81005553082648,-1.8095672299525,1,1
"mmu-mir-1264-3p",-2.81005553082648,-1.8095672299525,1,1
"mmu-mir-7236-5p",-2.81005553082648,-1.8095672299525,1,1
"mmu-mir-7647-5p",2.79510455851844,-1.9857171332073,0.500000000000004,1
"mmu-mir-7682-5p",2.79510455851844,-1.9857171332073,0.500000000000004,1
"mmu-mir-6946-5p",2.79510455851844,-1.9857171332073,0.500000000000004,1
"mmu-mir-6936-3p",2.79510455851844,-1.9857171332073,0.500000000000004,1
"mmu-mir-7b-3p",2.79510455851844,-1.9857171332073,0.500000000000004,1
"mmu-mir-133a-3p",2.79510455851844,-1.9857171332073,0.500000000000004,1
